OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
11,4800211005001,2,Núcleo Arqueológico da Rua dos Correeiros (NARC),"Rua dos Correeiros, 9-29; Rua Augusta, 76-96",,,,,"Um pequeno museu que revela a riqueza arqueológica que existe sob a Baixa Pombalina,pondo à vista vestígios de diversas épocas,mas principalmente romanos.No local foram encontrados vestígios das primeiras habitações da cidade ibero-púnica (séc. V a.C.),passando pelos períodos romano,árabe,medieval,quinhentista,até ao séc. XVIII.Outro motivo de interesse é o facto de se poder ver a base da estrutura de gaiola,aplicada pelos engenheiros setecentistas,a qual permite resistir a terramotos como o de 1755,que destruiu a cidade.Podemos observar e admirar estruturas sobrepostas de períodos históricos desde o Púnico ao Medieval e o Pombalino,para além de um espólio de várias épocas,em particular a romana (mosaicos,tanques de salga,cerâmicas e restos humanos),dispostas de modo a mostrar as várias fases da ocupação da zona da Baixa.As visitas guiadas são de 45 minutos (também em inglês e francês). Encontra-se classificado como Monumento Nacional (Sítio de Interesse Nacional).",-,0,88b801f9-d645-4f2a-8e57-6224611a62df
12,3601103001001,2,Igreja de Santo Estêvão,"Largo de Santo Estêvão, Igreja",,,,,"Com origem num templo do séc. XII,foi totalmente reconstruida entre 1733-1740,segundo o risco de Manuel da Costa Negreiros e mais tarde sob orientação de Mateus Vicente de Oliveira.Monumento Nacional e característica do barroco,a sua planta oitavada assenta numa geometria simples de traçado rectangular com os ângulos cortados,conferindo-lhe uma notável originalidade.A sua fachada surge dividida em 3 corpos por pilastras salientes,estando o central rematado por frontão triangular,encimado por cruz e enquadrado por 2 torres.Esta simetria perdeu-se com o Terramoto,que destruiu uma das torres sineiras.No interior destacam-se:o altar-mor com o retábulo de pedra e o grupo escultórico de talha realizado por José de Almeida;os altares laterais;a estatuária;e os azulejos da sacristia velha.",CICL,0,2969c6af-c3a6-4da5-bef8-59f780d17e04
13,0202501014001,2,Capela de Santo Amaro,"Escadinhas de Santo Amaro, Ermida de Santo Amaro",,,,,"Pequeno templo renascentista,datado de 1549,conforme inscrição sobre a porta principal.Classificada como Monumento Nacional,apresenta planta centralizada composta por capela-mor e nave circular,ladeada pela sacristia à direita e pela antiga casa de despacho à esquerda,precedida por três portões de entrada em ferro forjado,datados do séc. XVIII,e por átrio ou galilé semicircular,o que lhe confere uma notável originalidade,reforçada pelo revestimento azulejar polícromo,de finais do séc. XVII,de composição maneirista e proto-barroca,que emoldura e destaca os elementos arquitectónicos.
",CICL,0,ddb9df66-c54e-4fab-a45b-b0a038fb6fea
14,1103004003001,2,"Igreja de Nª Sra. da Luz (Capela-Mor e Sepultura da Infanta D. Maria, Filha do Rei D. Manuel I)","Largo da Luz, IGREJA; Rua da Fonte, 2-4",,,,,"Mandada edificar em 1575 pela Infanta D. Maria, filha de D. Manuel I, foi projectada por Jerónimo de Ruão, com provável intervenção de seu pai, João de Ruão e de Francisco de Holanda, traduzindo um templo maneirista, estilo chão, com uma fachada monumental de dois pisos, que sofreu grande ruína com o terramoto de 1755. Subsistiu apenas a capela-mor, o arco do cruzeiro e parte das paredes. A actual fachada foi construída em 1870, sob projecto do arquitecto Valentim Correia. No interior merecem destaque: a capela-mor com abóbada de berço, decorada com caixotões marmóreos ornados com motivos de quadrelas inspiradas nos modelos de Sebastiano Serlio; a sepultura simples que acolhe os restos mortais da Infanta D. Maria, filha de D. Manuel I; o retábulo maneirista de talha dourada com excelentes pinturas de Francisco Venegas e Diogo Teixeira; o conjunto de mármores embutidos que revestem a banqueta; pelo seu valor estético e iconográfico, os retábulos pintados sobre suporte de madeira representando a Circuncisão e a Fuga para o Egipto, e S. Bento dando a Regra aos frades de Cristo e às freiras da Encarnação; os baixos relevos renascentistas do altar-mor, representando figuras alegóricas; entre outros. Encontram-se ainda, no corpo sul da igreja, vestígios de uma antiga capela, construída pela população em 1463/64, nomeadamente um arco manuelino e azulejos hispano-árabes. A classificação como Monumento Nacional diz respeito à Capela-Mor e à Sepultura da Infanta D. Maria, Filha do rei D. Manuel I.",CICL,0,29206e21-932a-43fc-b464-8fd404723168
15,1200101008001,2,Castelo de São Jorge e restos das Cercas de Lisboa,"Castelo de São Jorge, Torres do Castelejo",,,,,"A colina onde se ergue o Castelo de S. Jorge foi das primeiras áreas ocupadas de Lisboa.Durante a Idade do Ferro e o período romano desempenhou um papel estratégico na defesa do povoado.Ocupado pelos árabes,foi conquistado em 1147 por D. Afonso Henriques.A construção do Paço Real durante a Primeira Dinastia conferiu-lhe uma centralidade política,religiosa,social e cultural,até ao reinado de D. Manuel I,que mandou construir o Paço da Ribeira.Bastante afectado pelo terramoto de 1755,nele se instalou,em 1780,a Casa Pia da Correcção da Corte,cujos edifícios foram,depois das invasões francesas (1807-1810) reparados e ocupados pelos quartéis.Restaurado no final dos anos 30,no âmbito da Exposição do Mundo Português,foi objecto de levantamento de grande parte dos muros e de muitas das torres,o que lhe conferiu um 'carácter medieval',resultante desta intervenção monumental.Em 1994,o Pelouro da Reabilitação Urbana da CML lançou um novo programa de valorização e revitalização deste espaço - o Projecto Integrado do Castelo -,o qual previu um conjunto de acções ao nível arquitectónico,económico,social e cultural.Classificado como Monumento Nacional,destacam-se:o Castelejo em forma poligonal;a Cidadela,parcialmente muralhada;a Casa do Governador;a Sala Ogival do Paço da Alcáçova,hoje convertida no elegante e requintado Restaurante do Leão;a Olissipónia,centro de interpretação da cidade;a Torre de Ulisses/Periscópio;a Torre de São Lourenço,a mais saliente do Castelejo,contígua à desaparecida Porta de S. Lourenço,que terá sido,em tempos,uma frente avançada da cerca moura;o núcleo museológico do Castelo de São Jorge inaugurado em 2008;e o Núcleo Arqueológico do Castelo de São Jorge inaugurado em 2010.Esta classificação inclui também os restos das Cercas Moura e Fernandina,que protegiam defensivamente a cidade.",CICL,0,1b0b7508-466f-4622-a8a7-79c90c6b0750
16,4501302021001,2,Ascensor da Glória e meio urbano que o envolve,"Calçada da Gloria (todos os imóvéis que com ela confinam); Rua das Taipas, tornejando para o Largo da Oliveirinha, 1, 2 e 5; e a Travessa do Fala-Só, 2 a 12 e 1 a 7",,,,,"Fazendo a ligação entre a Avenida da Liberdade/Restauradores e a Rua de São Pedro de Alcântara é, atualmente, o ascensor mais movimentado da cidade, transportando cerca de três milhões de passageiros por ano. Construído pela Companhia dos Ascensores Mecânicos de Lisboa, segundo projeto de Mesnier du Ponsard, e inaugurado em 1885, foi, entre os elevadores de Lisboa, o pioneiro da tração elétrica, instalada em 1914. Inicialmente, locomovido por contrapeso de água, recorreu, mais tarde, ao vapor, enquanto que as viagens noturnas eram iluminadas por velas de estearina. Constituído por dois carros, ligados por um cabo subterrâneo, que sobem e descem alternada e simultaneamente ao longo de duas vias de carris de ferro, foi o único que proporcionou aos utentes lugares no tejadilho - a chamada ""Imperial"" - onde se acedia por uma escada de caracol. Em 1926 tornou-se propriedade da Carris. O conjunto designado por ""Ascensor da Glória e o meio urbano que o envolve"" está classificado como Monumento Nacional.","CICL; Diário da República",0,c9273fee-5e42-4a03-9873-e109dd9454f0
17,4001328001001,2,Capela de São Jerónimo/Ermida do Restelo,"Praça de Itália, Capela de São Jerónimo",,,,,"Monumento Nacional,esta capela do séc. XVI,foi concebida por Boitaca,arqº dos Jerónimos,e concluida por Rodrigo Afonso.De planta quadrangular,surge rematada por grosso cordão e pináculos torsos,com gárgulas nos cantos.A sua cobertura de abóbada polinervada é sustentada através do recurso estrutural de cunhais reforçados por 4 gigantes.A porta principal apresenta decoração ligada à simbólica manuelina.No interior,de nave única,destaca-se o arco triunfal,que antecede a capela-mor.Esta última possui um altar,datado do séc. XX,revestido com azulejos sevilhanos quinhentistas originários dos três altares que desapareceram com os restauros sofridos pela capela,datando o último de 1886,como figura sobre a sua porta lateral.Nesta capela esteve sepultado Pina Manique,fundador da Casa Pia de Lisboa.",CICL,0,3096c0a7-b1cb-43d8-9c60-d840132a4e8b
18,1601603028001,2,Convento da Graça,"Largo da Graça, Igreja; Largo da Graça, 94; Rua Damasceno Monteiro, S/N",,,,,"Igreja e convento fundados no séc. XIII, para frades eremitas calçados de Santo Agostinho, sob a invocação de Nossa Senhora da Graça, foram reedificados no séc. XVI e restaurados após o terramoto de 1755, sob a direção dos arquitetos Caetano Tomás de Sousa e Manuel Caetano de Sousa. Esta última intervenção imprimiu-lhe um carácter tardo-barroco, embora tenha subsistido o núcleo manuelino, constituído pelo batistério e pela capela, assim como o claustro maneirista. A frontaria apresenta dupla fachada, em ângulo, composto pela igreja e pela antiga portaria conventual, sobre a qual se eleva a torre sineira, obra de Manuel da Costa Negreiros. Após a extinção das ordens religiosas o convento foi transformado em quartel de diversas unidades do exército. A igreja, de planta cruciforme, apresenta nave única de cinco tramos com capelas, transepto alongado e capela-mor muito profunda. No interior merece destaque: o património azulejar dos séculos XVI, XVII e XVIII; o trabalho em talha dourada dos altares em estilo rococó e as esculturas setecentistas das capelas intermédias; a decoração barroca da sacristia, com o teto alegórico pintado por Pedro Alexandrino de Carvalho, o grande painél das Relíquias e o túmulo de D. Mendo de Fóios Pereira. Igreja e antigo Convento estão abrangidos pela classificação como Monumento Nacional.","CICL; Diário da República",0,c409540a-30d0-4f68-9d26-2826447b23ec
19,1900113001001,2,Lápides das Pedras Negras,"Largo da Madalena, 3-6; Travessa das Pedras Negras, 1-3",,,,,"Estas quatro lápides, conhecidas como Lápides das Pedras Negras, apresentam inscrições romanas, sendo duas delas dedicadas aos deuses Mercúrio e Cibele. Integradas na fachada de um edifício do séc. XVIII, que sofreu modificações do séc. XIX, conhecido como Prédio do Almada, encontram-se classificadas como Monumento Nacional, desde 1910, tendo sido descobertas aquando da construção do referido imóvel, juntamente com imponentes ruínas romanas.
",CICL,0,2736ebd8-c9ef-402a-a3b4-caad9eef7347
20,3400303001001,2,Igreja do Menino Deus,"Calçada do Menino Deus, 15-27; Largo do Menino Deus, Igreja",,,,,"Mandada edificar por D. João V,em 1711,por acção de graça do nascimento de um herdeiro,é um dos últimos exemplos da arquitectura barroca inicial,tendo o projecto sido atribuído ao arq. João Antunes.Monumento Nacional,de planta rectangular quebrada nos ângulos rectos,traduz um interior octogonal irregular,rematado no topo por capela-mor quadrangular,abrindo-se quatro capelas laterais de cada um dos lados do corpo central.A sua fachada principal,maneirista com alguns elementos barrocos,surge rasgada por um pórtico de colunas coríntias caneladas,encimado por frontão quebrado de volutas concheadas,que delimitam a lápide comemorativa do lançamento da primeira pedra pelo monarca.No interior merecem especial destaque as pinturas dos altares,a policromia dos embrechados de mármores e a decoração pictórica do tecto.",CICL,0,83a8e002-a6eb-4911-8f2d-fb54290867ef
21,2601101002001,2,Túmulo da Rainha D. Mariana Vitória,"Rua do Olival, 63; Rua Presidente Arriaga, Igreja",,,,,"O túmulo da Rainha D. Mariana Vitória, mulher de D. José I, encontra-se integrado no arcossólio aberto no muro Oeste da capela-mor da Igreja de São Francisco de Paula, desde 1781, altura em que a rainha aí foi sepultada. Classificado como Monumento Nacional, este monumento funerário, obra da oficina de Machado de Castro, traduz uma arca bojuda, em mármore preto, assente sobre dois leões deitados, executados em mármore branco, e rematada por três aletas com enrolamentos, sobre as quais estão sentados dois pequenos anjos de largas roupagens, também em mármore branco, os quais ladeiam uma peanha, que suporta uma coroa real ao centro. Na parte frontal da arca evidencia-se uma cartela em bronze, recortada com decoração rocaille, cujo epitáfio da rainha apresenta a seguinte legenda: ' D. M. / D. MARIANNA VICTOREA CATHOLICORUM REGUM FILIA, / PORTUGALLIAE REGINA FIDELISSIMA. JOSEPHI I. FIDELISSIMI REGIS CONJUX; / CUI SUPERVIXIT ANNOS CIRCHER QUATUOR; DIEM CLAUSIT EXTREMUM / XVIII. KAL. FEBRUARII ANNI MDCCLXXXI AETATIS SUAE ANNO LXIII. / EJUS CORPUS IN HOC TEMPLO. IPSIUS EXPENSIS, ET PIETATE FUNDATO, / HIC DEPONI FECIT FILIA SUA D. MARIA I. REGINA FIDELISSIMA. / ANIMAM VERO, CHRISTIANIS VIRTUTIBUS ORNATAM, / PIE CREDITUR CUM CHRISTO REGINARE IN COELO; / ET IN PACE DOMINI REQUIESCERE. AMEN.'.",-,0,4ca25336-6a54-43cd-aa06-9c662356837d
22,4900801011001,2,Palácio Almada-Carvalhais,"Largo do Conde Barão, 48-57; Rua das Gaivotas, 1-3",,,,,"O Palácio Almada-Carvalhais,que pertenceu aos provedores da Casa da Índia,foi mandado construir no século XVI,(cerca de 1545),por Rui Fernandes de Almada,banqueiro e feitor da Flandres.Sofreu sucessivas fases construtivas e decorativas até ao século XVIII,traduzindo uma arquitectura renascentista e barroca.Está classificado como Monumento Nacional.De planta rectangular e volumetria escalonada,desenvolve-se em 3 pisos,em torno de um pátio interior renascentista,com as suas colunas e capitéis de decoração vegetalista e antropomórfica.De Quinhentos é também a torre de cantaria,no extremo O. do alçado principal,sob a qual existe um túnel abobadado que liga o exterior ao referido pátio.É, ainda,de salientar a janela de sacada encimada pela pedra de armas dos Almadas.Da segunda metade de Setecentos destacam-se a decoração com estuques de vários tectos,os silhares de azulejos em vários compartimentos e a escadaria monumental,que do topo nascente do pátio,através de 3 lanços,conduz aos pisos superiores do palácio.No século XX,o espaço do palácio foi fragmentado e ocupado por diferentes entidades.O jardim a tardoz foi convertido,na década de 20,em garagem e estação de serviço,enquanto que o túnel de acesso sob a torre foi prolongado,atravessando a antiga cozinha,até ao logradouro.",CICL,0,43ad6eff-a72f-4b69-b43f-01f737744c4d
23,4103302007001,2,Igreja da Madre de Deus,"Rua da Madre de Deus, Igreja",,,,,"Igreja integrada num edifício fundado em 1509 pela Rainha D. Leonor,o qual sofreu várias campanhas de obras,nomeadamente após o terramoto de 1755,pelo que traduz uma súmula de estilos:mudéjar (tecto da capela de D. Leonor);manuelino (piso térreo do claustrinho e torre sineira);maneirista (estrutura da igreja e claustro de Diogo de Torralva);barroco (decoração da igreja);e revivalista (portal, 2º piso do claustrinho e duas salas).Na sua fachada muito simples,destaca-se o portal neomanuelino oitocentista,de acesso lateral à igreja,a qual está classificada como Monumento Nacional.O interior,de nave única,é revestido a azulejos historiados do séc. XVIII que narram a vida de S.Francisco.Da capela-mor e coro alto há que realçar as pinturas do séc. XVI,emolduradas em talha.Neste edifício funciona o Museu Nacional do Azulejo, que possui uma colecção de azulejos portugueses,espanhóis e holandeses,cujo percurso museológico vai do séc. XV à actualidade.",CICL,0,b6d2f2b9-b6fc-4c1d-9ce0-906b2c3d7ce2
24,2400701054001,2,Capela do Hospital de São José ,"Rua do Arco da Graça, S/N (Bloco Central); Rua José António Serrano, S/N (Bloco Central); Travessa do Hospital, S/N (Bloco Central)",,,,,"Antigo Convento e Colégio jesuíta de Sto. Antão-o-Novo, cujo edifício principal se encontra classificado como Imóvel de Interesse Público, foi construído a partir de 1579 sob o risco de Baltazar Álvares. A Igreja foi edificada entre 1613-1653, segundo projecto de um discípulo de Terzi, à qual foi acrescentada, em 1696, a sacristia barroca, projectada por João Antunes. A partir de 1770 instalou-se, no extinto convento/colégio, o Hospital de S. José, em substituição do Hospital Real de Todos-os-Santos, arruinado pelo terramoto. Sobreviveu a primitiva sacristia, hoje capela do hospital e classificada como Monumento Nacional, sendo de destacar o pórtico sul, encimado pelo brazão de D. José, que dá acesso a um pátio com estátuas dos Apóstolos pertencentes à igreja do extinto convento e os azulejos da escadaria do hospital.
",-,0,56d82943-ced4-4670-af79-04441e5521ce
